episode,reward
1,-3372.0
2,-3515.0
3,-3305.0
4,-3183.0
5,-3079.0
6,-3391.0
7,-3354.0
8,-3583.0
9,-3443.0
10,-3281.0
11,-3114.0
12,-3280.0
13,-3160.0
14,-3303.0
15,-3367.0
16,-3445.0
17,-3151.0
18,-3567.0
19,-3290.0
20,-3434.0
21,-3269.0
22,-3302.0
23,-3499.0
24,-3531.0
25,-3299.0
26,-3296.0
27,-3490.0
28,-3412.0
29,-3331.0
30,-3338.0
31,-3228.0
32,-3450.0
33,-3043.0
34,-3207.0
35,-3177.0
36,-3225.0
37,-3254.0
38,-3455.0
39,-3493.0
40,-3304.0
41,-3334.0
42,-3242.0
43,-3390.0
44,-3484.0
45,-3374.0
46,-3278.0
47,-3358.0
48,-3184.0
49,-3061.0
50,-3115.0
51,-3077.0
52,-3160.0
53,-3410.0
54,-3249.0
55,-3217.0
56,-3011.0
57,-3258.0
58,-3290.0
59,-3444.0
60,-3113.0
61,-3099.0
62,-3248.0
63,-3017.0
64,-3373.0
65,-2890.0
66,-3215.0
67,-3121.0
68,-3193.0
69,-3345.0
70,-3259.0
71,-3096.0
72,-3143.0
73,-2944.0
74,-3252.0
75,-3103.0
76,-3207.0
77,-3060.0
78,-3234.0
79,-3144.0
80,-3045.0
81,-3188.0
82,-3044.0
83,-3000.0
84,-2947.0
85,-3047.0
86,-3105.0
87,-3362.0
88,-3003.0
89,-2969.0
90,-3035.0
91,-3057.0
92,-2869.0
93,-2945.0
94,-3084.0
95,-3038.0
96,-3013.0
97,-2954.0
98,-2845.0
99,-2850.0
100,-2950.0
101,-3020.0
102,-3109.0
103,-2989.0
104,-2918.0
105,-2995.0
106,-3150.0
107,-2919.0
108,-2950.0
109,-3254.0
110,-2993.0
111,-3035.0
112,-2792.0
113,-2992.0
114,-3138.0
115,-2719.0
116,-2917.0
117,-3221.0
118,-3169.0
119,-2973.0
120,-3086.0
121,-2936.0
122,-3009.0
123,-2838.0
124,-2783.0
125,-3128.0
126,-2793.0
127,-2831.0
128,-2662.0
129,-3120.0
130,-2798.0
131,-3007.0
132,-2980.0
133,-2798.0
134,-2844.0
135,-3157.0
136,-2740.0
137,-2856.0
138,-2685.0
139,-2737.0
140,-2889.0
141,-2796.0
142,-2939.0
143,-2682.0
144,-2741.0
145,-2507.0
146,-2710.0
147,-2756.0
148,-2546.0
149,-2730.0
150,-2746.0
151,-2691.0
152,-2846.0
153,-2586.0
154,-2580.0
155,-2769.0
156,-2708.0
